Player,Steven Adams,Alexis Ajinca,Cole Aldrich,Chris Andersen,Omer Asik,Aron Baynes,Bismack Biyombo,Tarik Black,Andrew Bogut,Clint Capela,Willie Cauley-Stein,Tyson Chandler,DeMarcus Cousins,Deyonta Davis,Dewayne Dedmon,Andre Drummond,Joel Embiid,Cristiano Felicio,Channing Frye,Marc Gasol,Pau Gasol,Rudy Gobert,Marcin Gortat,Justin Hamilton,A.J. Hammons,John Henson,Willy Hernangomez,Roy Hibbert,Nene Hilario,Jordan Hill,Al Horford,Dwight Howard,Al Jefferson,DeAndre Jordan,Frank Kaminsky,Enes Kanter,Kosta Koufos,Joffrey Lauvergne,Alex Len,Brook Lopez,Robin Lopez,Ian Mahinmi,Boban Marjanovic,JaVale McGee,Salah Mejri,Greg Monroe,Timofey Mozgov,Mike Muscala,Joakim Noah,Lucas Nogueira,Jusuf Nurkic,Daniel Ochefu,Jahlil Okafor,Kelly Olynyk,Arinze Onuaku,Zaza Pachulia,Georgios Papagiannis,Marshall Plumlee,Mason Plumlee,Miles Plumlee,Jakob Poeltl,Dwight Powell,Jason Smith,Marreese Speights,Diamond Stone,Walter Tavares,Tristan Thompson,Karl-Anthony Towns,Myles Turner,Jonas Valanciunas,Anderson Varejao,Nikola Vucevic,Hassan Whiteside,Jeff Withey,Tyler Zeller,Stephen Zimmerman,Ivica Zubac
FT,2.2,0.4,0.4,0.9,0.9,1.4,1.7,1.4,0.2,1.0,0.7,1.1,7.4,0.3,0.8,1.8,4.7,0.5,0.9,3.4,1.2,3.7,1.6,0.5,0.2,1.8,0.8,1.5,1.5,1.0,1.5,2.8,0.7,2.5,1.2,2.3,0.4,0.4,2.6,4.0,0.9,1.0,0.7,0.8,0.3,2.3,1.3,1.2,0.4,0.9,1.4,0.0,1.3,1.0,0.0,1.0,0.0,1.0,1.5,0.8,0.7,1.2,0.1,2.0,0.7,0.0,1.2,3.7,3.2,2.5,1.2,1.1,2.8,0.7,0.6,0.0,0.8
FTA,3.0,0.5,0.6,1.3,1.6,1.6,3.5,1.8,0.7,2.1,1.3,1.5,9.8,0.5,1.2,4.0,6.0,0.8,0.9,4.3,2.1,5.6,2.6,0.8,0.7,2.6,1.1,2.0,2.5,1.0,1.7,5.6,1.1,4.9,1.8,3.0,0.8,0.8,3.5,4.9,1.4,2.0,0.8,1.5,0.5,2.7,1.7,1.5,1.5,1.3,2.8,0.0,2.5,1.2,0.0,1.2,0.0,1.5,3.0,1.2,1.2,1.7,0.1,2.4,0.7,2.0,2.7,4.7,4.1,3.0,1.3,1.7,5.1,1.0,1.0,0.5,1.0
FTP,0.754,0.8,0.692,0.667,0.583,0.872,0.5,0.786,0.273,0.457,0.545,0.714,0.752,0.6,0.65,0.452,0.778,0.636,0.929,0.798,0.587,0.664,0.611,0.688,0.333,0.702,0.75,0.735,0.6,1.0,0.9,0.5,0.667,0.509,0.657,0.785,0.529,0.467,0.74,0.809,0.645,0.5,0.857,0.517,0.556,0.846,0.795,0.794,0.259,0.714,0.5,,0.532,0.842,,0.786,,0.667,0.5,0.7,0.615,0.714,1.0,0.818,1.0,0.0,0.453,0.786,0.782,0.833,0.875,0.625,0.54,0.737,0.591,0.0,0.75
ORB,2.8,1.0,1.3,0.9,1.7,1.1,2.4,2.3,2.6,2.5,0.8,2.7,2.4,0.7,1.7,3.5,2.1,1.9,0.5,0.9,1.4,3.3,3.1,1.0,0.4,1.6,1.4,1.5,1.3,1.5,1.2,4.5,1.2,3.3,0.8,2.0,1.9,1.0,2.1,1.8,3.9,0.0,0.7,0.9,1.1,2.0,2.0,1.2,3.2,1.6,2.7,0.0,1.4,0.7,0.0,2.0,0.0,0.5,1.9,1.0,1.8,1.5,0.6,1.3,0.3,0.0,3.4,3.3,1.6,3.2,0.8,2.6,4.3,0.9,1.3,1.0,0.5
DRB,4.9,2.7,2.7,1.7,4.6,3.3,6.0,2.9,7.8,6.0,1.2,8.2,8.2,1.2,4.0,9.8,5.5,1.9,2.6,5.2,6.1,8.3,8.7,3.0,1.1,4.3,2.9,2.4,2.4,1.5,5.3,8.2,3.1,9.5,3.9,4.0,4.1,2.9,5.5,3.5,3.9,1.0,1.2,1.3,2.7,4.8,2.7,2.9,4.7,2.8,4.6,1.0,3.0,3.3,0.3,3.6,1.0,2.5,5.2,1.2,1.9,3.4,1.7,3.5,0.7,1.0,7.0,7.0,5.7,6.3,1.0,8.7,10.4,1.5,2.2,1.0,1.0
TRB,7.7,3.7,4.0,2.6,6.3,4.4,8.4,5.2,10.4,8.5,1.9,10.9,10.6,1.9,5.7,13.3,7.6,3.7,3.1,6.1,7.5,11.5,11.8,4.1,1.6,5.8,4.3,3.9,3.7,3.0,6.4,12.7,4.3,12.8,4.7,6.0,6.0,3.9,7.6,5.4,7.8,1.0,1.9,2.2,3.8,6.8,4.7,4.1,7.9,4.4,7.3,1.0,4.4,4.0,0.3,5.5,1.0,3.0,7.1,2.2,3.7,4.9,2.3,4.8,1.0,1.0,10.3,10.4,7.2,9.4,1.8,11.3,14.7,2.3,3.5,2.0,1.5
AST,0.6,0.1,0.5,0.6,0.6,0.4,1.1,0.6,2.2,0.9,0.3,0.7,3.4,0.1,0.2,1.3,1.7,0.4,0.7,4.1,2.5,1.0,1.5,0.9,0.2,1.1,0.8,0.6,0.9,0.0,5.3,1.2,1.0,0.6,2.7,0.6,0.5,0.8,0.7,2.3,0.8,0.0,0.0,0.3,0.3,2.1,1.0,1.4,2.8,0.7,1.5,0.0,0.9,1.7,0.0,2.4,0.0,0.5,4.5,0.9,0.4,0.8,0.3,0.7,0.0,0.0,1.0,2.3,1.0,0.9,0.8,2.5,0.7,0.1,1.0,0.5,0.0
STL,1.2,0.1,0.7,0.3,0.2,0.4,0.2,0.3,0.6,0.5,0.5,0.7,1.1,0.1,0.5,1.6,0.6,0.1,0.4,0.9,0.4,0.5,0.5,0.7,0.0,0.4,0.4,0.2,0.4,0.0,0.6,1.0,0.2,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.1,1.0,0.1,0.2,0.4,1.4,0.2,0.6,0.7,1.1,0.7,0.0,0.4,0.6,0.0,0.8,0.0,0.5,0.9,0.5,0.5,1.4,0.2,0.3,0.0,0.0,0.5,0.8,0.9,0.4,0.2,0.7,0.7,0.4,0.2,0.0,0.3
BLK,0.9,0.6,0.6,0.4,0.3,0.4,1.4,0.6,0.9,1.9,0.4,0.4,1.4,0.6,1.3,1.2,2.5,0.2,0.7,1.6,1.1,2.6,1.2,0.5,0.4,1.6,0.4,0.9,0.6,0.0,2.6,1.5,0.3,1.7,0.4,0.9,0.5,0.3,1.5,1.7,1.9,1.0,0.3,0.7,0.6,0.5,0.5,0.7,0.8,1.9,1.0,0.0,1.2,0.2,0.3,0.5,0.0,0.0,1.0,0.3,0.5,0.7,0.4,0.5,0.3,0.0,1.5,1.5,2.2,0.8,0.2,0.9,2.5,0.8,0.7,0.0,0.0
TOV,1.9,0.5,0.3,0.6,0.5,1.1,1.5,0.7,1.8,1.3,0.6,1.5,2.7,0.4,0.5,1.9,3.7,0.4,0.7,2.1,1.2,1.6,1.5,0.8,0.0,1.1,1.5,0.8,1.3,1.0,1.4,2.5,0.5,1.6,1.1,1.4,1.0,0.7,1.5,2.1,0.9,2.0,0.1,0.8,0.6,1.5,1.4,1.2,1.0,0.7,2.3,0.3,1.3,1.3,0.0,1.4,1.0,0.0,1.6,0.8,0.4,0.4,0.9,0.6,0.3,0.0,0.5,2.2,1.6,1.6,0.5,1.3,2.0,0.4,0.5,0.0,0.3
PF,2.5,1.9,2.0,1.3,1.7,2.1,2.6,2.4,3.6,2.6,2.5,3.2,3.8,1.4,2.4,2.5,3.3,1.1,1.9,2.1,1.5,3.1,3.5,1.6,0.2,2.7,1.6,2.1,2.5,1.5,2.4,3.4,2.0,2.7,1.5,2.2,2.1,1.7,3.7,2.3,1.9,3.0,0.8,1.3,2.2,1.7,2.4,1.8,2.6,2.6,2.3,0.7,2.5,2.8,0.7,2.0,3.0,1.5,2.7,2.1,2.7,2.0,2.2,2.8,1.3,0.0,2.2,3.1,3.1,2.7,0.8,2.0,3.3,1.3,1.6,0.0,1.5
PPG,10.8,4.2,3.0,2.4,3.6,4.6,5.5,5.9,3.8,12.0,5.2,7.2,28.8,2.1,4.1,14.7,18.2,2.8,10.4,19.9,11.5,11.6,11.1,6.8,1.2,7.2,5.5,5.9,7.3,3.0,15.0,13.7,7.5,11.0,10.9,12.8,5.3,5.6,8.9,20.1,9.9,1.0,2.2,4.7,2.4,9.2,8.5,8.7,4.3,5.2,9.7,0.7,11.2,8.5,0.7,4.3,2.0,2.0,9.8,2.8,3.1,6.8,2.8,8.7,2.0,2.0,6.5,21.8,14.6,12.5,1.8,12.4,17.6,2.8,4.7,1.0,2.3
